Headline,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
Patients are warned that IUDs can be 'uncomfortable.' But many say the pain is excruciating.,,Washington Post,,,,Left-Center,2,"July 20, 2021",FALSE
Mask mandates make a return - along with controversy,,Washington Post,,,,Left-Center,3,"July 20, 2021",FALSE
"Nearly 120,000 children in US have lost a primary caregiver to COVID-19: Internal CDC data",,Good Morning America,,,,Left-Center,4,"July 20, 2021",TRUE
"To China, Trump Was Bad. Biden Seems Even Worse.",,The New York Times,,,,Left-Center,5,"July 20, 2021",TRUE
Key question for Americans overseas: Can their phones be hacked?,,Washington Post,,,,Left-Center,6,"July 20, 2021",FALSE
"Singapore shocked by killing of boy, 13, at school",,BBC,,,,Left-Center,7,"July 20, 2021",TRUE
Teen with US ties again on the run from China with fiancee,,Associated Press,,,,Neutral,8,"July 20, 2021",TRUE
"U.S., Japan, South Korea send clear message to N.Korea - U.S. diplomat",,Reuters,,,,Neutral,9,"July 20, 2021",TRUE
"Minister accused of giving teen meth and raping her at church, Texas police say",,Fort Worth Star-Telegram,,,,Right-Center,10,"July 20, 2021",TRUE
Why Tom Brady's 'gentle' roast of Trump at Biden's White House was actually 'deeply vicious',,The Week,,,,Left,11,"July 20, 2021",TRUE
Japanese envoy says Tokyo 'struggles every day' with China,,Associated Press,,,,Neutral,12,"July 20, 2021",TRUE
Push to get wary Russians vaccinated leaves some COVID clinics short,,Reuters,,,,Neutral,13,"July 20, 2021",TRUE
DEA agent charged in Capitol riot after his friend told the FBI he lied about his participation to 'cover his a--',,INSIDER,,,,Left-Center,14,"July 20, 2021",TRUE
New study suggests J recipients should get booster shot to protect against Delta variant,,The Week,,,,Left,15,"July 20, 2021",TRUE
Biden's 3rd trip to reddish Ohio pushes his economic agenda,,Associated Press,,,,Neutral,16,"July 20, 2021",TRUE
Guantánamo Bay inmate sent to home country in Biden policy shift,,Yahoo News Video,,,,Questionable Source,17,"July 20, 2021",FALSE
Covid-19: India outrage over 'no oxygen shortage death data' claim,,BBC,,,,Left-Center,18,"July 20, 2021",FALSE
Hong Kong police arrest former Apple Daily senior editor,,Associated Press,,,,Neutral,19,"July 20, 2021",TRUE
11 Products to Satisfy an Obsession With Sage Green,,Architectural Digest,,,,Left,20,"July 20, 2021",TRUE
"Rep. Priscilla Giddings faces House ethics hearing, complaints of ‘conduct unbecoming’",,Idaho Statesman,,,,Neutral,21,"July 20, 2021",TRUE
"Vaccinated people can still get COVID. Here are the most common symptoms, study says",,Miami Herald,,,,Left-Center,22,"July 20, 2021",TRUE
Mandira Bedi: What Hindu scriptures say about women at cremations,,BBC,,,,Left-Center,23,"July 20, 2021",FALSE
50-year war on drugs imprisoned millions of Black Americans,,Associated Press,,,,Neutral,24,"July 20, 2021",TRUE
Covid: The Mexican villages refusing to vaccinate,,BBC,,,,Left-Center,25,"July 20, 2021",FALSE
Here’s why Florida is seeing a surge of COVID cases again — and how to protect yourself,,Miami Herald,,,,Left-Center,26,"July 20, 2021",TRUE
An Australian couple was convicted of enslaving an Indian grandmother for 8 years,,INSIDER,,,,Left-Center,27,"July 20, 2021",TRUE
Covid: Anger as half of Australians in lockdown again,,BBC,,,,Left-Center,28,"July 20, 2021",TRUE
Thomas Barrack told a UAE official that Trump considered appointing him ambassador to the country and 'give Abu Dhabi more power': prosecutors,,Business Insider,,,,Left-Center,29,"July 20, 2021",TRUE
"Covid: Ivermectin, milk among Indonesia's unproven 'cures'",,BBC,,,,Left-Center,30,"July 20, 2021",TRUE
,,,,,,,,,
Johnson & Johnson's vaccine produced fewer antibodies against Delta compared with other shots in an experiment. Experts say we shouldn't worry about the results.,,Business Insider,,,,Left-Center,1,"July 21, 2021",TRUE
"Among Mormon Women, Frank Talk About Sacred Underclothes",,The New York Times,,,,Left-Center,2,"July 21, 2021",TRUE
"Facing criticism for Paralympian's withdrawal, USOPC defends athlete support system",,Washington Post,,,,Left-Center,3,"July 21, 2021",TRUE
"So, uhh, about Jeff Bezos's cowboy hat …",,Washington Post,,,,Left-Center,4,"July 21, 2021",FALSE
Alabama city leader won't quit after using racial slur,,Associated Press,,,,Neutral,5,"July 21, 2021",TRUE
"With 'Black Widow' ticket buying suddenly drying up, growing questions for Disney's Marvel about what did it in",,Washington Post,,,,Left-Center,6,"July 21, 2021",FALSE
"Unvaccinated Americans say COVID vaccines are riskier than the virus, even as Delta surges among them",,Yahoo News,,,,Left-Center,7,"July 21, 2021",FALSE
Biden says even people who think he's 'Satan reincarnate' have to know something happened on Jan. 6,,The Week,,,,Left,8,"July 21, 2021",TRUE
Yuen Long attack: Hong Kong court gives seven jail time,,BBC,,,,Left-Center,9,"July 21, 2021",TRUE
At least 25 dead as rains deluge central China's Henan province,,Reuters,,,,Neutral,10,"July 21, 2021",FALSE
"McConnell encourages people to get vaccinated, ignore anti-vax voices",,Yahoo News Video,,,,"Too many tries, Find Manually",11,"July 21, 2021",FALSE
"3 bodies found in China tunnel collapse, 11 still missing",,Associated Press,,,,Neutral,12,"July 21, 2021",FALSE
"U.S., Germany strike Nord Stream 2 pipeline deal to push back on Russian 'aggression'",,Reuters,,,,Neutral,13,"July 21, 2021",TRUE
Former informant 'White Boy Rick' sues FBI for $100m,,BBC,,,,Left-Center,14,"July 21, 2021",TRUE
‘He could have at least given us a road.’ Residents in Haiti prepare for Moïse’s funeral,,Miami Herald,,,,Left-Center,15,"July 21, 2021",TRUE
"Room for 10,000: Inside China's largest detention center",,Associated Press,,,,Neutral,16,"July 21, 2021",TRUE
Venezuela's Maduro calls Vatican letter a 'compendium of hatred',,Reuters,,,,Neutral,17,"July 21, 2021",TRUE
"Flooding in central China turns streets to rivers, kills 12",,Associated Press,,,,Neutral,18,"July 21, 2021",FALSE
China rejects WHO plan for study of COVID-19 origin,,Reuters,,,,Neutral,19,"July 21, 2021",TRUE
Hong Kong police arrest 5 trade union members for sedition,,Associated Press,,,,Neutral,20,"July 21, 2021",TRUE
"Syria accuses Israel of carrying out strike, 2nd in a week",,Associated Press,,,,Neutral,21,"July 21, 2021",TRUE
Why The Bath Mat Is Guaranteed to Spruce Up Your Space,,Architectural Digest,,,,Left,22,"July 21, 2021",TRUE
"From China to Germany, floods expose climate vulnerability",,Reuters,,,,Neutral,23,"July 21, 2021",TRUE
"Shooting that injured driver on I-30 in Fort Worth was a case of road rage, police say",,Fort Worth Star-Telegram,,,,Right-Center,24,"July 21, 2021",TRUE
"Japan, UK to expand defense ties at sea, military technology",,Associated Press,,,,Neutral,25,"July 21, 2021",FALSE
Pennsylvania decertifies county's voting machines after 2020 audit,,Reuters,,,,Neutral,26,"July 21, 2021",TRUE
Florida AG Moody tests positive for COVID days after being with DeSantis in Texas,,Miami Herald,,,,Left-Center,27,"July 21, 2021",TRUE
"The group accused of plotting to kidnap Michigan Gov. Whitmer was riddled with FBI informants who took leading roles, according to BuzzFeed",,INSIDER,,,,Left-Center,28,"July 21, 2021",TRUE
Russia sends long-delayed module to space station,,BBC,,,,Left-Center,29,"July 21, 2021",TRUE
Polish justice minister says Warsaw cannot comply with EU's court ruling,,Reuters,,,,Neutral,30,"July 21, 2021",TRUE
,,,,,,,,,
"Florida, Missouri and Texas now account for 40% of new coronavirus cases in U.S.",https://news.yahoo.com//florida-missouri-and-texas-now-account-for-40-percent-of-new-us-coronavirus-cases-172032337.html,Yahoo News,,,,Left-Center,1,"July 22, 2021",TRUE
"Superbug' fungus spread in two cities, health officials say",https://news.yahoo.com//superbug-fungus-spread-two-cities-171511075.html,Associated Press,,,,Neutral,2,"July 22, 2021",TRUE
Paul Gosar was a beloved dentist - now he's a MAGA congressman,https://news.yahoo.com//paul-gosar-beloved-dentist-now-144835793.html,Washington Post,,,,Left-Center,3,"July 22, 2021",FALSE
Officials seize 15 giant land snails at Houston airport,https://news.yahoo.com//officials-seize-15-giant-land-233031405.html,CBS News,,,,Left-Center,4,"July 22, 2021",FALSE
Details on FBI Inquiry Into Kavanaugh Draw Fire From Democrats,https://news.yahoo.com//details-fbi-inquiry-kavanaugh-draw-181845650.html,The New York Times,,,,Left-Center,5,"July 22, 2021",TRUE
Why Everyone Has the Worst Summer Cold Ever,https://news.yahoo.com//why-everyone-worst-summer-cold-183842931.html,The New York Times,,,,Left-Center,6,"July 22, 2021",TRUE
"Violence, protests overshadow Mass for slain Haitian leader",https://news.yahoo.com//violence-overshadows-memorial-mass-slain-170359156.html,Associated Press,,,,Neutral,7,"July 22, 2021",TRUE
Biden hits Cuba with more sanctions over its crackdown on protesters,https://news.yahoo.com//biden-hits-cuba-more-sanctions-171329161.html,LA Times,,,,Left-Center,8,"July 22, 2021",TRUE
"911 call released in killing of mother, son in S. Carolina",https://news.yahoo.com//911-call-released-killing-mother-220356248.html,Associated Press,,,,Neutral,9,"July 22, 2021",TRUE
Rep. Marjorie Taylor Greene holds a press conference after being reinstated on Twitter,https://news.yahoo.com//rep-marjorie-taylor-greene-holds-143005481.html,Yahoo News Video,,,,Questionable Source,10,"July 22, 2021",FALSE
Volunteers hunting for Mexico's 'disappeared' become targets,https://news.yahoo.com//volunteers-hunting-mexicos-disappeared-become-040214119.html,Associated Press,,,,Neutral,11,"July 22, 2021",TRUE
"Tarrant County voter fraud case ‘threatens the integrity’ of democracy, group says",https://news.yahoo.com//tarrant-county-voter-fraud-case-221758646.html,Fort Worth Star-Telegram,,,,Right-Center,12,"July 22, 2021",TRUE
"Typhoon to bring heavy rains to Taiwan, China over weekend",https://news.yahoo.com//typhoon-bring-heavy-rains-taiwan-064647100.html,Associated Press,,,,Neutral,13,"July 22, 2021",TRUE
"In venue fit for head of state, Japan PM seeks Pfizer doses",https://news.yahoo.com//venue-fit-head-state-japan-062036222.html,Associated Press,,,,Neutral,14,"July 22, 2021",TRUE
"Republican politicians lost in Medicaid expansion standoff, and Missouri voters won",https://news.yahoo.com//republican-politicians-lost-medicaid-expansion-212625395.html,Kansas City Star,,,,Left-Center,15,"July 22, 2021",TRUE
"US diplomat worried about pandemic, food supply in N Korea",https://news.yahoo.com//us-diplomat-worried-pandemic-food-070203667.html,Associated Press,,,,Neutral,16,"July 22, 2021",FALSE
Brother of Miami condo victim heartbroken but not hopeless,https://news.yahoo.com//brother-miami-condo-victim-heartbroken-193558166.html,Associated Press,,,,Neutral,17,"July 22, 2021",TRUE
Pelosi says 'deadly serious' Jan. 6 probe to go without GOP,https://news.yahoo.com//pelosi-says-jan-6-committee-165729105.html,Associated Press,,,,Neutral,18,"July 22, 2021",TRUE
Why The Bath Mat Is Guaranteed to Spruce Up Your Space,https://news.yahoo.com//why-bath-mat-guaranteed-spruce-183500854.html,Architectural Digest,,,,Left,19,"July 22, 2021",FALSE
Recent arrests reveal more about how cartel wives help run operations for Mexico's powerful Sinaloa cartel,https://news.yahoo.com//recent-arrests-reveal-more-cartel-223158658.html,Business Insider,,,,Left-Center,20,"July 22, 2021",TRUE
GOP congressman says he wants to indict Jill Biden ‘for being so cruel to her husband’,https://news.yahoo.com//gop-congressman-says-wants-indict-203144153.html,The Independent,,,,Left-Center,21,"July 22, 2021",TRUE
"Democrats outraged after the FBI said it got more than 4,500 tips about Brett Kavanaugh - and referred the 'relevant' ones to the Trump White House",https://news.yahoo.com//democrats-outraged-fbi-said-got-023607844.html,Business Insider,,,,Left-Center,22,"July 22, 2021",TRUE
"At 98 and facing cancer, Bob Dole reckons with legacy of Trump and ponders future of GOP",https://news.yahoo.com//98-facing-cancer-bob-dole-100314687.html,USA TODAY,,,,Left-Center,23,"July 22, 2021",TRUE
A man who spent $30 million building a 3-mile wall between the US and Mexico is looking for someone to buy it,https://news.yahoo.com//man-spent-30-million-building-062315895.html,INSIDER,,,,Left-Center,24,"July 22, 2021",TRUE
"Ex-Army Ranger used his military training during Capitol riot, judge says",https://news.yahoo.com//ex-army-ranger-used-military-201332148.html,The Independent,,,,Left-Center,25,"July 22, 2021",TRUE
Three women attacked within the space of one hour in a New York City park,https://news.yahoo.com//three-women-attacked-within-space-135907954.html,The Independent,,,,Left-Center,26,"July 22, 2021",TRUE
The US launched strikes to destroy military equipment the Taliban captured from Afghan security forces,https://news.yahoo.com//us-launched-strikes-destroy-military-004629191.html,Business Insider,,,,Left-Center,27,"July 22, 2021",TRUE
"Georgia Rep. Hank Johnson arrested at voting rights demonstration, second House Democrat detained in a week",https://news.yahoo.com//georgia-rep-hank-johnson-arrested-205103607.html,USA TODAY,,,,Left-Center,28,"July 22, 2021",TRUE
"A man was lost in the Alaskan wilderness for weeks and fended off a grizzly bear nightly, until a coast guard helicopter spotted his 'SOS' by chance",https://news.yahoo.com//man-lost-alaskan-wilderness-weeks-013153165.html,INSIDER,,,,Left-Center,29,"July 22, 2021",TRUE
"As Tokyo Games open, can Olympic flame burn away the funk?",https://news.yahoo.com//tokyo-games-open-olympic-flame-061716673.html,Associated Press,,,,Neutral,30,"July 22, 2021",TRUE
,,,,,,,,,
Exclusive-'QAnon Shaman' in plea negotiations after mental health diagnosis -lawyer,https://news.yahoo.com//exclusive-qanon-shaman-plea-negotiations-100653663.html,Reuters,,,,Neutral,1,"July 23, 2021",TRUE
A priest's phone location data outed his private life. It could happen to anyone.,https://www.yahoo.com/lifestyle/priests-phone-location-data-outed-223808426.html,Washington Post,,,,Left-Center,2,"July 23, 2021",FALSE
"Southern California cities rebel against new mask mandate, hinting at delta variant drama to come",https://news.yahoo.com//southern-california-cities-rebel-against-190121857.html,Washington Post,,,,Left-Center,3,"July 23, 2021",FALSE
A Grizzly Bear Terrorized a Man for Days in Alaska. The Coast Guard Saw His SOS.,https://news.yahoo.com//grizzly-bear-terrorized-man-days-121007359.html,The New York Times,,,,Left-Center,4,"July 23, 2021",TRUE
Cleveland Indians announce franchise's new name: the Guardians,https://sports.yahoo.com/cleveland-indians-announce-franchises-new-name-the-guardians-140148762.html,Yahoo Sports,,,,Left-Center,5,"July 23, 2021",TRUE
"After Recent 'Heat Dome,' Washington Issues Warning Not to Eat Raw Shellfish",https://news.yahoo.com//recent-heat-dome-washington-issues-121302393.html,The New York Times,,,,Left-Center,6,"July 23, 2021",TRUE
Exclusive: Jan. 6 select committee will include former CIA inspector general found to have retaliated against whistleblower,https://news.yahoo.com//exclusive-jan-6-select-committee-will-include-former-cia-inspector-general-found-to-have-retaliated-against-whistleblower-211238170.html,Yahoo News,,,,Left-Center,7,"July 23, 2021",TRUE
China's Zhengzhou begins cleanup after deadly storms,https://news.yahoo.com//chinas-zhengzhou-begins-cleanup-storms-103635570.html,Associated Press,,,,Neutral,8,"July 23, 2021",FALSE
Venezuela says U.S. military plane violated its airspace,https://news.yahoo.com//venezuela-says-u-military-plane-231246725.html,Reuters,,,,Neutral,9,"July 23, 2021",TRUE
Husky seen running after car when he’s abandoned is saved – and Texas man is arrested,https://news.yahoo.com//husky-seen-running-car-abandoned-001926080.html,Fort Worth Star-Telegram,,,,Right-Center,10,"July 23, 2021",TRUE
"To reach a peace deal, Taliban say Afghan president must go",https://news.yahoo.com//reach-peace-deal-taliban-afghan-060957044.html,Associated Press,,,,Neutral,11,"July 23, 2021",FALSE
China's Sinovac evaluates vaccine plant in Chile,https://news.yahoo.com//chinas-sinovac-evaluates-vaccine-plant-195811879.html,Reuters,,,,Neutral,12,"July 23, 2021",TRUE
What the far-right's charge to remove Pelosi could mean for Kevin McCarthy,https://news.yahoo.com//far-rights-charge-remove-pelosi-170856416.html,The Week,,,,Left,13,"July 23, 2021",TRUE
"Body of Arlington firefighter was found in bathroom window, Mexican authorities say",https://news.yahoo.com//body-arlington-firefighter-found-bathroom-234551961.html,Fort Worth Star-Telegram,,,,Right-Center,14,"July 23, 2021",TRUE
Biden stumps for McAuliffe in early test of political clout,https://news.yahoo.com//biden-stumps-mcauliffe-early-test-201844206.html,Associated Press,,,,Neutral,15,"July 23, 2021",TRUE
SpaceX lands NASA launch contract for mission to Jupiter's moon Europa,https://news.yahoo.com//spacex-lands-nasa-launch-contract-030631164.html,Reuters,,,,Neutral,16,"July 23, 2021",TRUE
A 'significant and far-reaching' heat wave is coming to the U.S. next week,https://news.yahoo.com//significant-far-reaching-heat-wave-153622707.html,The Week,,,,Left,17,"July 23, 2021",TRUE
SC police got phone data of Josephson’s alleged ‘fake Uber’ killer. Here’s what they found,https://news.yahoo.com//sc-police-got-phone-data-161412016.html,The State,,,,Left-Center,18,"July 23, 2021",TRUE
Search for bodies concludes at Surfside condo collapse site,https://news.yahoo.com//search-bodies-concludes-surfside-condo-214845328.html,Yahoo News Video,,,,Questionable Source,19,"July 23, 2021",TRUE
Poland a step closer to adopting controversial property law,https://news.yahoo.com//poland-step-closer-adopting-controversial-203852602.html,Associated Press,,,,Neutral,20,"July 23, 2021",TRUE
Afghan Air Force hurt by inoperable aircraft - Afghan lawmakers,https://news.yahoo.com//afghan-air-force-hurt-inoperable-181701268.html,Reuters,,,,Neutral,21,"July 23, 2021",TRUE
Bones found near area where missing British hiker Esther Dingley disappeared,https://news.yahoo.com//bones-found-near-area-where-175052488.html,The Telegraph,,,,Right,22,"July 23, 2021",TRUE
Vietnam locks down capital Hanoi for 15 days as cases rise,https://news.yahoo.com//vietnam-locks-down-capital-hanoi-032426813.html,Associated Press,,,,Neutral,23,"July 23, 2021",TRUE
China imposes sanctions on US officials,https://news.yahoo.com//china-imposes-sanctions-us-officials-225503142.html,BBC,,,,Left-Center,24,"July 23, 2021",TRUE
Tokyo 2020 'axed opening ceremony musician for being black',https://news.yahoo.com//tokyo-2020-axed-opening-ceremony-205357039.html,The Telegraph,,,,Right,25,"July 23, 2021",TRUE
Are COVID symptoms different with the delta variant? Here’s what experts say,https://news.yahoo.com//covid-symptoms-different-delta-variant-185023861.html,Miami Herald,,,,Left-Center,26,"July 23, 2021",TRUE
Trump's sway tested in race for open mid-Ohio US House seat,https://news.yahoo.com//trumps-sway-tested-race-open-114336014.html,Associated Press,,,,Neutral,27,"July 23, 2021",TRUE
"CDC says ‘superbug’ fungus has spread in Washington, D.C., and Dallas",https://news.yahoo.com//cdc-says-superbug-fungus-spread-202812229.html,Yahoo News Video,,,,Questionable Source,28,"July 23, 2021",FALSE
Dutch teen on space flight told Bezos he had never ordered from Amazon,https://news.yahoo.com//dutch-teen-space-flight-told-163423384.html,Reuters,,,,Neutral,29,"July 23, 2021",TRUE
Slovenia PM accuses EU official of lying over rule of law,https://news.yahoo.com//slovenia-pm-accuses-eu-official-154447938.html,Associated Press,,,,Neutral,30,"July 23, 2021",TRUE
,,,,,,,,,
"Florida tops the nation in new COVID cases. As they spike in its rural Big Bend, many still fear the vaccine more.",https://news.yahoo.com//florida-tops-nation-covid-cases-151309966.html,USA TODAY,,,,Left-Center,1,"July 24, 2021",TRUE
Gaetz case takes bizarre tabloid turn,https://news.yahoo.com//gaetz-case-takes-bizarre-tabloid-170244424.html,Politico,,,,Left-Center,2,"July 24, 2021",FALSE
Imprisoned 'Dating Game Killer' Alcala dies in California,https://news.yahoo.com//imprisoned-dating-game-killer-alcala-192232768.html,Associated Press,,,,Neutral,3,"July 24, 2021",TRUE
He refused to give up his coveted Twitter handle. Then he was 'swatted' and died of a heart attack.,https://news.yahoo.com//refused-coveted-twitter-handle-then-193345633.html,Washington Post,,,,Left-Center,4,"July 24, 2021",TRUE
AP-NORC poll: Most unvaccinated Americans don't want shots,https://news.yahoo.com//ap-norc-poll-most-unvaccinated-144516547.html,Associated Press,,,,Neutral,5,"July 24, 2021",FALSE
Patience has worn thin': Frustration mounts over vaccine holdouts,https://news.yahoo.com//patience-worn-thin-frustration-mounts-003258894.html,Washington Post,,,,Left-Center,6,"July 24, 2021",FALSE
Typhoon In-Fa sweeps towards China after flooding chaos,https://news.yahoo.com//typhoon-fa-sweeps-towards-china-133926108.html,BBC,,,,Left-Center,7,"July 24, 2021",TRUE
Russia excludes senior Communist candidate from parliamentary vote,https://news.yahoo.com//russia-excludes-senior-communist-candidate-125812651.html,Reuters,,,,Neutral,8,"July 24, 2021",TRUE
Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk than Huawei,https://news.yahoo.com//sale-semiconductor-business-chinese-firm-150647558.html,The Telegraph,,,,Right,9,"July 24, 2021",TRUE
LA man who mocked Covid-19 vaccines dies of virus,https://news.yahoo.com//la-man-mocked-covid-19-223242462.html,BBC,,,,Left-Center,10,"July 24, 2021",TRUE
"Vietnam reports record 7,968 coronavirus cases on Saturday",https://news.yahoo.com//vietnam-reports-record-7-968-124501940.html,Reuters,,,,Neutral,11,"July 24, 2021",TRUE
A man found with guns and ammunition in his Chicago hotel room told police it was a 'mistake' and he 'didn't mean to startle anyone',https://news.yahoo.com//man-found-guns-ammunition-chicago-015851455.html,INSIDER,,,,Left-Center,12,"July 24, 2021",TRUE
Afghanistan curfew imposed as Taliban militants advance,https://news.yahoo.com//afghanistan-curfew-imposed-taliban-militants-151207065.html,BBC,,,,Left-Center,13,"July 24, 2021",TRUE
U.S. hits one of two targets in missile defense test - agency,https://news.yahoo.com//u-hits-one-two-targets-202037958.html,Reuters,,,,Neutral,14,"July 24, 2021",TRUE
"Germany toughens rules for travel from Spain, Netherlands",https://news.yahoo.com//germany-toughens-rules-travel-spain-143027723.html,Associated Press,,,,Neutral,15,"July 24, 2021",FALSE
Report: 'QAnon Shaman' in plea negotiations after mental illness diagnosis,https://news.yahoo.com//report-qanon-shaman-plea-negotiations-125125315.html,Yahoo News Video,,,,Questionable Source,16,"July 24, 2021",FALSE
"Arlington firefighter accidentally asphyxiated in Cancun window, authorities conclude",https://news.yahoo.com//arlington-firefighter-accidentally-asphyxiated-cancun-190258328.html,Fort Worth Star-Telegram,,,,Right-Center,17,"July 24, 2021",TRUE
China confirms ban on for-profit tutoring in core school subjects - Xinhua,https://news.yahoo.com//china-confirms-profit-tutoring-core-112045849.html,Reuters,,,,Neutral,18,"July 24, 2021",TRUE
Why it may be a 'grave mistake' for FDA to wait much longer for full COVID-19 vaccine approval,https://news.yahoo.com//why-may-grave-mistake-fda-185000105.html,The Week,,,,Left,19,"July 24, 2021",TRUE
Fauci: 'There's no way' the coronavirus was made with U.S. research funds. Here's why,https://news.yahoo.com//fauci-theres-no-way-coronavirus-120033699.html,LA Times,,,,Left-Center,20,"July 24, 2021",TRUE
Army Ranger Savagely Killed Female Security Guard in Drunken Rampage: Police,https://news.yahoo.com//army-ranger-savagely-killed-female-172255483.html,The Daily Beast,,,,Left,21,"July 24, 2021",TRUE
"At the recent CPAC, attendees celebrated the failure of Biden's goal to vaccinate 70% of adults. Now top Republicans have U-turned, urging people to get their jab.",https://news.yahoo.com//recent-cpac-attendees-celebrated-failure-155302579.html,Business Insider,,,,Left-Center,22,"July 24, 2021",TRUE
"A United Airlines flight was evacuated after a teenager AirDropped a photo of an airsoft gun to other passengers, report says",https://news.yahoo.com//united-airlines-flight-evacuated-teenager-131229565.html,Business Insider,,,,Left-Center,23,"July 24, 2021",TRUE
‘Avenge Her Murder’: The Grisly Killing of an Ex-Diplomat’s Daughter Ignites a Wave of Fury Worldwide,https://news.yahoo.com//avenge-her-murder-grisly-killing-235108660.html,The Daily Beast,,,,Left,24,"July 24, 2021",TRUE
"Powerhouse US swim team shines with 6 medals, 1st US gold",https://news.yahoo.com//kalisz-wins-first-us-medal-014806234.html,Associated Press,,,,Neutral,25,"July 24, 2021",TRUE
First images of Derek Chauvin in prison are released,https://news.yahoo.com//first-images-derek-chauvin-prison-142103579.html,The Independent,,,,Left-Center,26,"July 24, 2021",TRUE
California family say they were treated like criminals on a Southwest flight because their toddler wouldn't keep his mask on,https://news.yahoo.com//california-family-were-treated-criminals-131004121.html,Business Insider,,,,Left-Center,27,"July 24, 2021",TRUE
"Heat wave to cover huge swath of US in coming days, bringing high temperatures to millions",https://news.yahoo.com//heat-wave-cover-huge-swath-002251140.html,USA TODAY,,,,Left-Center,28,"July 24, 2021",TRUE
Biden set to nominate Caroline Kennedy as US ambassador to Australia: report,https://news.yahoo.com//biden-set-nominate-caroline-kennedy-182229535.html,Business Insider,,,,Left-Center,29,"July 24, 2021",TRUE
"R. Kelly sexually abused teenage boy he met in McDonald's and bribed officials for information about his legal case, prosecutors allege",https://news.yahoo.com//r-kelly-sexually-abused-teenage-145812082.html,INSIDER,,,,Left-Center,30,"July 24, 2021",TRUE
,,,,,,,,,
"Russia sets stage for enticing gymnastics final by outscoring Simone Biles, Team USA in qualifying",https://sports.yahoo.com/simone-biles-team-usa-finish-second-to-russia-in-womens-gymnastics-in-qualifying-090723115.html,Yahoo Sports,,,,Left-Center,1,"July 25, 2021",TRUE
"Burned by Hot Housing Market, Some Buyers Back Off",https://news.yahoo.com//burned-hot-housing-market-buyers-140916237.html,The New York Times,,,,Left-Center,2,"July 25, 2021",TRUE
Americans' optimism about country's direction over next year drops nearly 20 points since May: POLL,https://www.yahoo.com/gma/americans-optimism-countrys-direction-over-110100639.html,Good Morning America,,,,Left-Center,3,"July 25, 2021",TRUE
The Most Influential Spreader of Coronavirus Misinformation Online,https://news.yahoo.com//most-influential-spreader-coronavirus-misinformation-141227038.html,The New York Times,,,,Left-Center,4,"July 25, 2021",TRUE
One nation under fire: A week's glance at gun violence ripping across America,https://www.yahoo.com/gma/one-nation-under-fire-weeks-132236894.html,Good Morning America,,,,Left-Center,5,"July 25, 2021",TRUE
"Buy My House, But I'm Taking the Toilet",https://news.yahoo.com//buy-house-im-taking-toilet-141636584.html,The New York Times,,,,Left-Center,6,"July 25, 2021",TRUE
A Mexican state suffers bloody fallout of cartel rivalry,https://news.yahoo.com//mexican-state-suffers-bloody-fallout-040001546.html,Associated Press,,,,Neutral,7,"July 25, 2021",TRUE
Afghanistan curfew imposed as Taliban militants advance,https://news.yahoo.com//afghanistan-curfew-imposed-taliban-militants-151207065.html,BBC,,,,Left-Center,8,"July 25, 2021",TRUE
"New Zealand to accept alleged Islamic State militant, 2 kids",https://news.yahoo.com//zealand-accept-alleged-islamic-state-034208188.html,Associated Press,,,,Neutral,9,"July 25, 2021",TRUE
"With eye on China, Pentagon chief heads to Southeast Asia",https://news.yahoo.com//eye-china-pentagon-chief-heads-041447021.html,Reuters,,,,Neutral,10,"July 25, 2021",TRUE
India landslide: Nine tourists killed as boulders fall from hilltop,https://news.yahoo.com//india-landslide-nine-tourists-killed-150059149.html,BBC,,,,Left-Center,11,"July 25, 2021",TRUE
Nigerian outrage at brazen bandit attacks,https://news.yahoo.com//nigerian-outrage-brazen-bandit-attacks-231009617.html,BBC,,,,Left-Center,12,"July 25, 2021",TRUE
Pandemic leaves Indians mired in massive medical debts,https://news.yahoo.com//pandemic-leaves-indians-mired-massive-043601230.html,Associated Press,,,,Neutral,13,"July 25, 2021",TRUE
Migrant workers stranded in China's flooded cities,https://news.yahoo.com//migrant-workers-stranded-chinas-flooded-082529147.html,Reuters Videos,,,,Left,14,"July 25, 2021",FALSE
"Sarah Huckabee Sanders says Biden, Harris should give Trump credit to increase vaccination rate",https://news.yahoo.com//sarah-huckabee-sanders-says-biden-150211902.html,The Week,,,,Left,15,"July 25, 2021",TRUE
"Australia sees COVID-19 cases climb, police warn against protest repeat",https://news.yahoo.com//australias-victoria-eyes-covid-19-234527626.html,Reuters,,,,Neutral,16,"July 25, 2021",TRUE
Covid: Fauci says US heading in wrong direction as cases rise,https://news.yahoo.com//covid-fauci-says-us-heading-195658123.html,BBC,,,,Left-Center,17,"July 25, 2021",TRUE
U.S. House Speaker Pelosi names Republican Kinzinger to Jan. 6 panel,https://news.yahoo.com//u-house-speaker-pelosi-may-151837284.html,Reuters,,,,Neutral,18,"July 25, 2021",TRUE
Lebanese Sunni tycoon Najib Mikati poised to be designated PM,https://news.yahoo.com//lebanese-sunni-muslim-leaders-endorse-165434736.html,Reuters,,,,Neutral,19,"July 25, 2021",TRUE
